attempt_count,category,completed_trade_count,entry_abs_slippage_pct_mean,entry_abs_slippage_pct_median,entry_fill_count,exit_abs_slippage_pct_mean,exit_abs_slippage_pct_median,exit_fill_count,name,net_pnl_total_estimate,skipped_signal_count,top_exit_reason
466,ticker,3,0.542142,0.473934,3,0.802947,0.694444,3,AMZN,-215.330001,463,stop_loss
405,ticker,3,0.979551,1.351351,3,0.152207,0.0,3,PLTR,109.389999,402,profit_target
294,ticker,3,1.396111,0.928793,3,1.381616,0.487805,3,IWM,-181.100001,289,profit_target
130,ticker,3,0.223714,0.0,3,0.749262,0.396825,3,NVDA,-523.220001,127,stop_loss
1916,ticker,2,0.185713,0.094162,4,,,2,QQQ,41.0,1912,severe_loss_flatten_all
224,ticker,2,2.315018,2.315018,2,0.769231,0.769231,2,BAC,-66.9,222,stop_loss
196,ticker,2,3.516737,3.516737,2,3.050219,3.050219,2,NKE,42.29,194,profit_target
176,ticker,2,0.325481,0.325481,2,0.251725,0.251725,2,SPY,-181.41,174,stop_loss
110,ticker,2,10.691526,10.691526,2,10.463531,10.463531,2,GDX,-632.01,108,stop_loss
163,ticker,1,3.968254,3.968254,1,3.191489,3.191489,1,SCHW,-41.3,162,stop_loss
66,ticker,1,3.703704,3.703704,1,,,1,XLE,-11.11,65,severe_loss_flatten_all
608,ticker,0,,,0,,,0,MSFT,0.0,607,
320,ticker,0,,,0,,,0,TSLA,0.0,320,
317,ticker,0,,,0,,,0,ORCL,0.0,317,
188,ticker,0,,,0,,,0,JPM,0.0,188,
46,ticker,0,,,0,,,0,ARKK,0.0,46,
17,ticker,0,,,0,,,0,CRM,0.0,17,
185,strategy,2,3.516737,3.516737,2,3.050219,3.050219,2,nke__base__trend_long_put_next_expiry,42.29,183,profit_target
102,strategy,2,1.771586,1.771586,2,0.348287,0.348287,2,iwm__base__orb_long_put_next_expiry,-160.8,99,profit_target
101,strategy,2,0.33557,0.33557,2,0.944681,0.944681,2,nvda__fast__trend_long_call_next_expiry_d70,-339.91,99,stop_loss
722,strategy,1,0.277264,0.277264,2,,,1,qqq__reactive__iron_butterfly_same_day,38.0,720,severe_loss_flatten_all
710,strategy,1,0.094162,0.094162,2,,,1,qqq__fast__iron_butterfly_same_day,3.0,708,severe_loss_flatten_all
166,strategy,1,0.755668,0.755668,1,1.149425,1.149425,1,amzn__fast__trend_long_call_next_expiry,-71.11,165,stop_loss
154,strategy,1,0.396825,0.396825,1,0.564972,0.564972,1,amzn__base__trend_long_call_next_expiry,-77.11,153,stop_loss
139,strategy,1,0.473934,0.473934,1,0.694444,0.694444,1,amzn__slow__trend_long_call_next_expiry,-67.11,138,stop_loss
129,strategy,1,0.0,0.0,1,0.0,0.0,1,pltr__base__trend_long_call_next_expiry,-11.3,128,time_exit
127,strategy,1,1.351351,1.351351,1,0.456621,0.456621,1,pltr__fast__trend_long_call_next_expiry,521.1,126,profit_target
112,strategy,1,3.296703,3.296703,1,1.538462,1.538462,1,bac__fast__trend_long_call_next_expiry,-90.6,111,stop_loss
112,strategy,1,1.333333,1.333333,1,0.0,0.0,1,bac__fast__trend_long_put_next_expiry,23.7,111,time_exit
103,strategy,1,0.645161,0.645161,1,3.448276,3.448276,1,iwm__fast__orb_long_put_next_expiry,-20.3,101,time_exit
97,strategy,1,0.300903,0.300903,1,0.335946,0.335946,1,spy__base__trend_long_call_next_expiry_d70,-50.3,96,time_exit
82,strategy,1,1.587302,1.587302,1,0.0,0.0,1,pltr__fast__trend_long_put_next_expiry,-400.41,81,stop_loss
79,strategy,1,0.350058,0.350058,1,0.167504,0.167504,1,spy__slow__trend_long_call_next_expiry_d70,-131.11,78,stop_loss
66,strategy,1,3.703704,3.703704,1,,,1,xle__fast__trend_long_put_next_expiry,-11.11,65,severe_loss_flatten_all
45,strategy,1,3.968254,3.968254,1,3.191489,3.191489,1,schw__fast__trend_long_call_next_expiry,-41.3,44,stop_loss
33,strategy,1,10.565111,10.565111,1,9.815951,9.815951,1,gdx__fast__trend_long_call_next_expiry,-475.8,32,stop_loss
29,strategy,1,0.0,0.0,1,0.358423,0.358423,1,nvda__base__trend_long_put_next_expiry,-183.31,28,stop_loss
27,strategy,1,10.817942,10.817942,1,11.111111,11.111111,1,gdx__fast__trend_long_put_next_expiry,-156.21,26,stop_loss
204,strategy,0,,,0,,,0,msft__slow__trend_long_call_next_expiry,0.0,204,
195,strategy,0,,,0,,,0,msft__base__trend_long_call_next_expiry,0.0,195,
187,strategy,0,,,0,,,0,msft__fast__trend_long_call_next_expiry,0.0,186,
143,strategy,0,,,0,,,0,orcl__slow__trend_long_call_next_expiry,0.0,143,
124,strategy,0,,,0,,,0,orcl__fast__trend_long_call_next_expiry,0.0,124,
121,strategy,0,,,0,,,0,qqq__reactive__call_backspread_next_expiry,0.0,121,
121,strategy,0,,,0,,,0,qqq__reactive__call_backspread_next_expiry_aggressive,0.0,121,
121,strategy,0,,,0,,,0,qqq__reactive__trend_long_call_next_expiry,0.0,121,
121,strategy,0,,,0,,,0,qqq__reactive__trend_long_call_next_expiry_d70,0.0,121,
118,strategy,0,,,0,,,0,schw__base__orb_long_put_same_day,0.0,118,
94,strategy,0,,,0,,,0,tsla__fast__trend_long_call_next_expiry_d70,0.0,94,
89,strategy,0,,,0,,,0,iwm__fast__trend_long_put_next_expiry_d70,0.0,89,
89,strategy,0,,,0,,,0,tsla__base__trend_long_call_next_expiry,0.0,89,
89,strategy,0,,,0,,,0,tsla__base__trend_long_call_next_expiry_d70,0.0,89,
67,strategy,0,,,0,,,0,pltr__base__trend_long_put_next_expiry,0.0,67,
63,strategy,0,,,0,,,0,jpm__base__trend_long_put_next_expiry,0.0,63,
63,strategy,0,,,0,,,0,jpm__fast__trend_long_put_next_expiry,0.0,63,
61,strategy,0,,,0,,,0,jpm__slow__trend_long_put_next_expiry,0.0,61,
48,strategy,0,,,0,,,0,tsla__fast__trend_long_put_next_expiry,0.0,48,
46,strategy,0,,,0,,,0,arkk__fast__trend_long_put_next_expiry,0.0,46,
39,strategy,0,,,0,,,0,orcl__fast__trend_long_put_next_expiry,0.0,39,
28,strategy,0,,,0,,,0,gdx__base__trend_long_call_next_expiry,0.0,28,
18,strategy,0,,,0,,,0,msft__base__trend_long_put_next_expiry,0.0,18,
17,strategy,0,,,0,,,0,crm__base__orb_long_put_same_day,0.0,17,
12,strategy,0,,,0,,,0,gdx__base__trend_long_put_next_expiry,0.0,12,
11,strategy,0,,,0,,,0,nke__fast__trend_long_call_next_expiry,0.0,11,
11,strategy,0,,,0,,,0,orcl__slow__trend_long_put_next_expiry,0.0,11,
10,strategy,0,,,0,,,0,gdx__slow__trend_long_put_next_expiry,0.0,10,
6,strategy,0,,,0,,,0,amzn__fast__trend_long_put_next_expiry,0.0,6,
4,strategy,0,,,0,,,0,msft__slow__trend_long_put_next_expiry,0.0,4,
1,strategy,0,,,0,,,0,amzn__base__trend_long_put_next_expiry,0.0,1,
1,strategy,0,,,0,,,0,jpm__fast__trend_long_call_next_expiry,0.0,1,
2831,regime,12,1.844162,0.572537,12,1.650348,0.629708,12,bull,-834.549996,2818,stop_loss
1244,regime,10,2.866409,2.097999,10,2.412758,0.487805,10,bear,-866.15,1232,stop_loss
1567,regime,2,0.185713,0.094162,4,,,2,choppy,41.0,1563,severe_loss_flatten_all
2392,timing_profile,13,2.777428,1.342342,14,,,13,fast,-1058.949996,2376,stop_loss
1393,timing_profile,8,1.409297,0.662809,8,,,8,base,-440.53,1384,stop_loss
651,timing_profile,2,0.411996,0.411996,2,,,2,slow,-198.22,649,stop_loss
1206,timing_profile,1,0.277264,0.277264,2,,,1,reactive,38.0,1204,severe_loss_flatten_all
0,timing_profile,0,,,0,1.977095,0.564972,0,unknown,0.0,0,
2831,signal_name,12,1.844162,0.572537,12,,,12,trend_call,-834.549996,2818,stop_loss
1039,signal_name,7,3.496536,2.608696,7,,,7,trend_put,-685.050002,1032,stop_loss
340,signal_name,3,1.396111,0.928793,3,,,3,orb_put,-181.100001,335,profit_target
1432,signal_name,2,0.185713,0.094162,4,,,2,iron_condor,41.0,1428,severe_loss_flatten_all
0,signal_name,0,,,0,1.977095,0.564972,0,unknown,0.0,0,
2767,entry_bucket,14,2.2059,1.131063,14,1.844909,0.487805,14,opening_follow_through_31_90,-1175.969998,2753,stop_loss
141,entry_bucket,5,2.375367,0.554529,7,4.48802,3.191489,5,opening_0_30,45.0,131,severe_loss_flatten_all
2090,entry_bucket,5,0.805344,0.396825,5,0.814223,0.564972,5,midday_91_210,-528.73,2085,stop_loss
644,entry_bucket,0,,,0,,,0,power_hour_211_plus,0.0,644,
0,exit_reason,12,,,0,,,0,stop_loss,-2286.879996,0,stop_loss
0,exit_reason,6,,,0,,,0,time_exit,-21.400002,0,time_exit
0,exit_reason,3,,,0,,,0,profit_target,618.69,0,profit_target
0,exit_reason,3,,,0,,,0,severe_loss_flatten_all,29.889999,0,severe_loss_flatten_all
