strategy_name,canonical_name,aliases,source_name,source_title,source_url,source_type,strategy_family,classification,net_premium_type,directional_bias,volatility_bias,time_decay_bias,legs_summary,uses_calls,uses_puts,uses_stock,min_legs,max_legs,defined_risk,defined_reward,typical_outlook,entry_debit_or_credit,max_profit_summary,max_loss_summary,breakeven_summary,exercise_assignment_risk,american_assignment_relevant,common_use_case,complexity_level,margin_notes,notes,dedupe_key,is_options_buying_strategy,include_reason,exclude_reason
Bear Put Spread,bear put spread,debit put spread; long put vertical; Bear Put Spread,OIC,Bear Put Spread,https://www.optionseducation.org/strategies/all-strategies/bear-put-spread,strategy_page,vertical,net_debit_spread,debit,bearish,mixed,mixed,Buy 1 put and sell 1 lower-strike put with the same expiration.,false,true,false,2,2,true,true,Moderately bearish outlook with lower upfront premium than an outright long put.,net debit,Maximum profit is capped at strike width minus net debit.,Maximum loss is limited to the net debit paid.,Expiration breakeven is long-put strike minus net debit.,The short put can be assigned early in American-style equity options when it is deep in the money.,true,Moderate downside trade with limited risk and lower cost than a naked long put.,basic,Typically entered for a net debit; the long put defines risk on the short put as a spread.,"Cross-checked on: Fidelity, OIC, Schwab.",bear_put_spread,true,Common named debit spread in which purchased premium is the main exposure.,
Bull Call Spread (Debit Call Spread),bull call spread,debit call spread; long call vertical; Debit Call Spread; Bull Call Spread,OIC,Bull Call Spread (Debit Call Spread),https://www.optionseducation.org/strategies/all-strategies/bull-call-spread-debit-call-spread,strategy_page,vertical,net_debit_spread,debit,bullish,mixed,mixed,Buy 1 call and sell 1 higher-strike call with the same expiration.,true,false,false,2,2,true,true,Moderately bullish outlook with a desire to reduce upfront premium versus an outright long call.,net debit,Maximum profit is capped at strike width minus net debit.,Maximum loss is limited to the net debit paid.,Expiration breakeven is long-call strike plus net debit.,"The short call can be assigned early in American-style equity options, especially around dividends.",true,Moderate upside trade with limited risk and lower premium outlay than a naked long call.,basic,Typically entered for a net debit; the long call defines risk on the short call as a spread.,"Merged source variants: Bull Call Spread; Bull Call Spread (Debit Call Spread). Cross-checked on: Fidelity, OIC, Schwab.",bull_call_spread,true,Common named debit spread in which purchased premium is the main exposure.,
Collar (Protective Collar),collar,protective collar; Protective Collar; Collar,OIC,Collar Protective Collar | Options Education,https://www.optionseducation.org/strategies/all-strategies/collar-protective-collar,strategy_page,collar,hybrid_or_protective,variable,bullish,mixed,mixed,"Hold long stock, buy 1 put, and sell 1 covered call.",true,true,true,3,3,true,true,Long-stock holder seeking downside protection while capping upside.,variable,"Upside is capped by the short call, adjusted for the net opening cash flow.","Downside is limited below the put strike, adjusted for stock basis and net opening cash flow.",Breakeven depends on the stock basis and whether the collar was opened for a net debit or net credit.,"The covered short call can be assigned early, especially around dividends; the long put is under the holder's control.",true,Hedge a long stock position for a period while partially financing protection with a covered call.,intermediate,Stock position plus covered short call approval required; net cash flow can be a debit or a credit depending on strikes.,"Included as a hybrid/protective structure because it clearly contains a bought option and is explicitly documented as a named strategy. Merged source variants: Collar; Collar (Protective Collar). Cross-checked on: Fidelity, OIC, Schwab. Manual review note: Hybrid stock-plus-options hedge with variable debit/credit economics, so keep separate from pure premium-buying definitions.",collar,true,Named protective structure with a bought put that is useful to track separately from pure long-premium trades.,
Double Diagonal Spread,double diagonal spread,Double Diagonal Spread,Fidelity,Double Diagonal Spread,https://www.fidelity.com/learning-center/investment-products/options/options-strategy-guide/double-diagonal-spread,strategy_page,diagonal,net_debit_spread,debit,neutral,mixed,positive_theta,"Buy a longer-dated straddle and sell a shorter-dated strangle, or equivalently pair call and put diagonals.",true,true,false,4,4,true,true,Neutral outlook between the short strangle strikes with limited-risk exposure if the stock moves sharply.,net debit,Profit is limited and typically best if the stock finishes near one of the short strikes around front-month expiration.,Maximum loss is limited to the net debit and is typically realized near the long straddle strike if held poorly.,"Breakeven depends on the short and long expiries, volatility, and where the stock sits relative to the short strangle.",Short front-month options can be assigned early and may require active adjustment of the long-dated hedges.,true,Advanced neutral strategy seeking positive theta with limited risk compared with a short strangle.,advanced,Complex spread approval is typically required; assignment on short legs can create stock exposure before the long legs are exercised or sold.,Observed in Fidelity's public strategy guide rather than OIC's broader library page. Manual review note: Advanced theta-focused debit structure that some researchers may prefer to separate from simpler long-premium trades.,double_diagonal_spread,true,Named net-debit long-premium structure from a reputable public strategy guide with clear limited-risk treatment.,
Long Call Butterfly,long butterfly,long call butterfly; long put butterfly; long butterfly spread with calls; long butterfly spread with puts; Long Call Butterfly; Long Put Butterfly; Long Butterfly Spread with Calls; Long Butterfly Spread with Puts,OIC,Long Call Butterfly,https://www.optionseducation.org/strategies/all-strategies/long-call-butterfly,strategy_page,butterfly,net_debit_spread,debit,neutral,short_vol,positive_theta,"Buy 1 lower-strike option, sell 2 middle-strike options, and buy 1 higher-strike option; call and put variants were both observed.",true,true,false,4,4,true,true,Neutral outlook centered on the body strike near expiration.,net debit,Maximum profit is limited and occurs near the middle strike at expiration.,Maximum loss is limited to the net debit paid.,"Two breakevens around the body strike, adjusted by the net debit paid.","Short body options create assignment and pin risk, especially near expiration.",true,Range-bound trade seeking a low-cost neutral payoff shape with limited risk.,intermediate,Net-debit complex spread; pin risk around the short body can create temporary assignment exposure near expiration.,"Included because the user explicitly asked to track long butterflies even though they are often short-volatility, positive-theta trades. Merged source variants: Long Butterfly Spread with Calls; Long Butterfly Spread with Puts; Long Call Butterfly; Long Put Butterfly. Cross-checked on: Fidelity, OIC. Manual review note: Debit entry does not imply long-volatility; this family is typically neutral and short-volatility despite being included.",long_butterfly,true,"Named net-debit spread with purchased options and limited risk, explicitly requested for inclusion.",
Long Call Calendar Spread (Call Horizontal),long calendar spread,long call calendar spread; call horizontal; long put calendar spread; put horizontal; time spread; horizontal spread; long calendar spread with calls; long calendar spread with puts; Call Horizontal; Long Call Calendar Spread; Put Horizontal; Long Put Calendar Spread; Long Calendar Spread with Calls; Long Calendar Spread with Puts,OIC,Long Call Calendar Spread (Call Horizontal),https://www.optionseducation.org/strategies/all-strategies/long-call-calendar-spread-call-horizontal,strategy_page,calendar,net_debit_spread,debit,mixed,long_vol,mixed,Buy a longer-dated option and sell a shorter-dated option of the same type; call and put variants were both observed.,true,true,false,2,2,true,false,"Neutral to modestly directional view toward the strike, with interest in front-month decay and/or higher implied volatility.",net debit,"Profit tends to peak near the short strike around front-month expiration, but realized maximum depends on the remaining long-option value and volatility.",Maximum loss is generally limited to the net debit paid if the spread value collapses.,"Breakeven is path-dependent and varies with underlying price, implied volatility, and time remaining in the long option.","The short near-term option can be assigned early, potentially creating stock exposure before the long leg is exercised or the spread is closed.",true,Seek positive short-leg theta while retaining longer-dated optionality and vega exposure.,advanced,Spread approval is typically required; assignment on the short leg can create temporary stock and margin exposure.,"Canonical row merges call and put variants because the sources document both as long calendar/time spreads. Merged source variants: Long Calendar Spread with Calls; Long Calendar Spread with Puts; Long Call Calendar Spread (Call Horizontal); Long Put Calendar Spread (Put Horizontal). Cross-checked on: Fidelity, OIC. Manual review note: Merged call and put variants have different directional tilts and time-decay behavior away from the strike.",long_calendar_spread,true,Common named net-debit spread with purchased longer-dated premium as the main exposure.,
Buying Index Calls,long call,bought call; buying index calls; Buying Index Calls; Long Call,OIC,Buying Index Calls,https://www.optionseducation.org/strategies/all-strategies/buying-index-calls,strategy_page,single_leg,pure_long_premium,debit,bullish,long_vol,negative_theta,Buy 1 call option; index-option variant also observed in source pages.,true,false,false,1,1,true,false,Bullish directional upside view with limited downside to premium paid.,net debit,Upside profit is theoretically unlimited after recovering the premium paid.,Maximum loss is limited to the option premium paid.,Breakeven at expiration is strike plus premium paid.,No short-leg assignment risk; a long in-the-money option can be exercised or auto-exercised at expiration.,false,Directional upside speculation or leveraged upside exposure with capped loss.,basic,Typically premium paid upfront; no additional option margin beyond the long premium for standard long equity options.,"Canonical row merges equity and index-option source variants. Merged source variants: Buying Index Calls; Long Call. Cross-checked on: Cboe, OIC.",long_call,true,Pure long-option strategy funded by purchased premium.,
Long Christmas Tree Spread with Calls,long christmas tree spread,long christmas tree spread with calls; long christmas tree spread with puts; Long Christmas Tree Spread with Calls; Long Christmas Tree Spread with Puts,Fidelity,Long Christmas Tree Spread with Calls,https://www.fidelity.com/learning-center/investment-products/options/options-strategy-guide/long-christmas-tree-spread-calls,strategy_page,butterfly,net_debit_spread,debit,neutral,short_vol,positive_theta,Six-leg butterfly-style structure using four strikes with long wings and three short options near the center; call and put variants were both observed.,true,true,false,6,6,true,true,Neutral outlook near the short strikes with an expectation that implied volatility stays stable or falls.,net debit,Maximum profit is limited and generally occurs near the strike of the short options.,Maximum loss is limited to the net debit paid.,"Breakevens depend on the exact strike geometry and the opening debit, and are wider than a standard butterfly's range.","Multiple short options create assignment and pin risk, especially as expiration approaches.",true,Advanced neutral debit structure seeking time-decay gains with a wider tent than a standard butterfly.,advanced,Complex multi-leg spread approval is typically required; multiple short contracts can create assignment-driven stock exposure near expiration.,"Observed in Fidelity's public strategy guide; not present on OIC's broader all-strategies index. Merged source variants: Long Christmas Tree Spread with Calls; Long Christmas Tree Spread with Puts. Manual review note: Debit entry notwithstanding, this family is fundamentally a neutral short-volatility/theta structure rather than a pure long-vol trade.",long_christmas_tree_spread,true,Named public debit spread with bought options and limited risk from a reputable priority source.,
Long Christmas Tree Spread Variation with Calls,long christmas tree spread variation,long christmas tree spread variation with calls; long christmas tree spread variation with puts; Long Christmas Tree Spread Variation with Calls; Long Christmas Tree Spread Variation with Puts,Fidelity,Long Christmas Tree Spread Variation with Calls,https://www.fidelity.com/learning-center/investment-products/options/options-strategy-guide/long-christmas-tree-spread-variation-calls,strategy_page,butterfly,net_debit_spread,debit,neutral,short_vol,positive_theta,"Six-leg butterfly-style variation using four strikes with two long lower wings, three short near-center options, and one far wing; call and put variants were both observed.",true,true,false,6,6,true,true,Neutral outlook near the short strikes with an expectation that implied volatility stays stable or falls.,net debit,Maximum profit is limited and generally occurs near the strike of the short options.,Maximum loss is limited to the net debit paid.,Breakevens depend on the exact strike geometry and the opening debit.,"Multiple short options create assignment and pin risk, especially as expiration approaches.",true,Advanced neutral debit structure designed to widen or reshape the butterfly profit tent while keeping risk capped.,advanced,Complex multi-leg spread approval is typically required; multiple short contracts can create assignment-driven stock exposure near expiration.,"Observed in Fidelity's public strategy guide; not present on OIC's broader all-strategies index. Merged source variants: Long Christmas Tree Spread Variation with Calls; Long Christmas Tree Spread Variation with Puts. Manual review note: Debit entry notwithstanding, this family is fundamentally a neutral short-volatility/theta structure rather than a pure long-vol trade.",long_christmas_tree_spread_variation,true,Named public debit spread with bought options and limited risk from a reputable priority source.,
Long Call Condor,long condor,long call condor; long put condor; long condor spread with calls; long condor spread with puts; Long Call Condor; Long Put Condor; Long Condor Spread with Calls; Long Condor Spread with Puts,OIC,Long Call Condor,https://www.optionseducation.org/strategies/all-strategies/long-call-condor,strategy_page,condor,net_debit_spread,debit,neutral,short_vol,positive_theta,Buy the outer wings and sell the inner body using four same-expiration options; call and put variants were both observed.,true,true,false,4,4,true,true,Neutral outlook with a wider target range than a standard butterfly.,net debit,Maximum profit is limited and usually occurs when the stock finishes between the short strikes.,Maximum loss is limited to the net debit paid.,"Two breakevens around the inner range, adjusted by the net debit paid.",Short inner options create assignment and pin risk near expiration.,true,Neutral range trade that sacrifices peak payoff for a broader profitable zone than a butterfly.,advanced,Net-debit complex spread; pin risk around the short strikes can create temporary assignment exposure near expiration.,"Included because the user explicitly asked to track long condors if documented as debit structures. Merged source variants: Long Call Condor; Long Condor Spread with Calls; Long Condor Spread with Puts; Long Put Condor. Cross-checked on: Fidelity, OIC. Manual review note: Debit entry does not imply long-volatility; this family is typically neutral and short-volatility despite being included.",long_condor,true,"Named net-debit spread with purchased options and limited risk, explicitly requested for inclusion.",
Long Diagonal Spread with Puts,long diagonal spread,diagonal debit spread; long diagonal spread with calls; long diagonal spread with puts; Long Diagonal Spread with Calls; Long Diagonal Spread with Puts,Fidelity,How to Use the Strategy Evaluator,https://www.fidelity.com/webcontent/ap002390-mlo-content/20.04/pdf/strategyEvaluatorHowTo.pdf,quickguide,diagonal,net_debit_spread,debit,mixed,mixed,mixed,Buy a longer-dated option and sell a shorter-dated option at a different strike; call and put variants were both observed.,true,true,false,2,2,true,false,Neutral to modestly directional view toward the short strike with a desire to harvest front-month decay.,net debit,Profit is generally best near the short strike around front expiration; realized maximum depends on the value of the long option.,Maximum loss is limited to the net debit paid if the structure fails to retain value.,"Breakeven is path-dependent and varies with strike placement, volatility, and time remaining in the long leg.","The short option can be assigned early, potentially creating temporary stock exposure before adjustment or exercise of the long leg.",true,Blend longer-dated optionality with short-term theta harvesting while leaning modestly bullish or bearish.,advanced,Spread approval is typically required; short-leg assignment can temporarily create stock and margin exposure.,Primary public HTML source clearly covered calls; put-variant coverage came from Fidelity's public strategy-evaluator quickguide. Merged source variants: Long Diagonal Spread with Calls; Long Diagonal Spread with Puts. Manual review note: Merged call and put variants have different directional tilts and can behave more like theta spreads than pure long-premium trades.,long_diagonal_spread,true,Named net-debit spread with purchased longer-dated premium as the core exposure.,
Long Iron Butterfly,long iron butterfly,long iron butterfly spread; Long Iron Butterfly; Long Iron Butterfly Spread,OIC,Long Iron Butterfly,https://www.optionseducation.org/strategies/all-strategies/long-iron-butterfly,strategy_page,butterfly,net_debit_spread,debit,volatility_up,long_vol,negative_theta,Combine a bear put spread and a bull call spread with long center strikes and short outer wings.,true,true,false,4,4,true,true,Expect a large move away from the center strike by expiration.,net debit,Maximum profit is limited to wing width minus the net debit when the stock finishes outside the wings.,Maximum loss is limited to the net debit if the stock finishes at the center strike.,"Two breakevens around the center strike, adjusted by the net debit paid.",Short wing options can be assigned early in American-style equity options.,true,Limited-risk long-volatility structure for event-driven or breakout expectations.,advanced,Net-debit complex spread; short wing assignment can create temporary stock exposure until the long center options are exercised or the spread is closed.,"Merged source variants: Long Iron Butterfly; Long Iron Butterfly Spread. Cross-checked on: Fidelity, OIC.",long_iron_butterfly,true,Named long-volatility debit structure with purchased center options and limited risk.,
Long Condor,long iron condor,long iron condor spread; long condor; Long Condor; Long Iron Condor Spread,OIC,Long Condor,https://www.optionseducation.org/strategies/all-strategies/long-iron-condor,strategy_page,condor,net_debit_spread,debit,volatility_up,long_vol,negative_theta,Combine a bear put spread and a bull call spread with long wings outside the short strikes.,true,true,false,4,4,true,true,Expect a large move outside the long wings and/or rising implied volatility.,net debit,Maximum profit is limited to spread width minus the net debit when the stock finishes outside the outer strikes.,Maximum loss is limited to the net debit if the stock remains between the long strikes and the structure expires worthless.,"Two breakevens outside the inner range, adjusted by the net debit paid.",Short outer options can be assigned early in American-style equity options.,true,Limited-risk breakout or event-volatility trade using a reverse iron condor structure.,advanced,Net-debit complex spread; short-option assignment can create temporary stock exposure before the spread is fully closed.,"OIC labels the same payoff family as 'Long Condor'; Fidelity labels it 'Long Iron Condor Spread'. Merged source variants: Long Condor; Long Iron Condor Spread. Cross-checked on: Fidelity, OIC.",long_iron_condor,true,"Named long-volatility debit structure with purchased wings and limited risk, explicitly requested when documented as a debit.",
Buying Index Puts,long put,bought put; buying index puts; Buying Index Puts; Long Put,OIC,Buying Index Puts,https://www.optionseducation.org/strategies/all-strategies/buying-index-puts,strategy_page,single_leg,pure_long_premium,debit,bearish,long_vol,negative_theta,Buy 1 put option; index-option variant also observed in source pages.,false,true,false,1,1,true,false,Bearish directional downside view with limited downside to premium paid.,net debit,"Profit grows as the underlying falls, bounded only by a move toward zero.",Maximum loss is limited to the option premium paid.,Breakeven at expiration is strike minus premium paid.,No short-leg assignment risk; a long in-the-money option can be exercised or auto-exercised at expiration.,false,Directional downside speculation or downside hedge with capped loss.,basic,Typically premium paid upfront; no additional option margin beyond the long premium for standard long equity options.,"Canonical row merges equity and index-option source variants. Merged source variants: Buying Index Puts; Long Put. Cross-checked on: Cboe, OIC.",long_put,true,Pure long-option strategy funded by purchased premium.,
Long Ratio Call Spread,long ratio backspread,long ratio call spread; long ratio put spread; 1x2 ratio volatility spread with calls; 1x2 ratio volatility spread with puts; call backspread; put backspread; Long Ratio Call Spread; Long Ratio Put Spread; 1x2 Ratio Volatility Spread with Calls; 1x2 Ratio Volatility Spread with Puts,OIC,Long Ratio Call Spread,https://www.optionseducation.org/strategies/all-strategies/long-ratio-call-spread,strategy_page,backspread,net_debit_spread,variable,mixed,long_vol,mixed,Sell 1 option and buy 2 further-out options of the same type; call and put backspread variants were both observed.,true,true,false,3,3,true,false,Expect a sharp directional move and/or higher implied volatility with more convexity than an outright long option.,variable,Call variants have unlimited upside profit; put variants have substantial downside profit if the move is large enough.,"Risk is limited but can exceed the initial cash outlay, with the worst loss typically near the short strike.",Usually involves two breakevens whose exact values depend on the strike spacing and whether entry was for a debit or credit.,The single short option can be assigned early and may create temporary stock exposure before the long wings are exercised or sold.,true,Convex long-volatility trade designed to reduce upfront cost relative to simply buying options outright.,advanced,Spread approval is typically required; short-option assignment and variable debit/credit entry can create temporary stock and margin exposure.,"Included because reputable public sources explicitly describe these as backspread variants even when they may be opened for a small debit or credit. Merged source variants: 1x2 Ratio Volatility Spread with Calls; 1x2 Ratio Volatility Spread with Puts; Long Ratio Call Spread; Long Ratio Put Spread. Cross-checked on: Fidelity, OIC. Manual review note: These structures can be opened for either a debit or a credit, so the 'buying strategy' label is broader here than pure debit-only definitions.",long_ratio_backspread,true,"Named long backspread variant with two purchased options versus one short option, explicitly requested if found.",
Long Straddle,long straddle,Long Straddle,OIC,Long Straddle,https://www.optionseducation.org/strategies/all-strategies/long-straddle,strategy_page,straddle,pure_long_premium,debit,volatility_up,long_vol,negative_theta,Buy 1 call and 1 put with the same strike and expiration.,true,true,false,2,2,true,false,Expect a sharp move in either direction and/or a rise in implied volatility.,net debit,Upside profit is unlimited and downside profit can be substantial if the move is large enough.,Maximum loss is limited to the combined premiums paid.,Two expiration breakevens: strike plus total premium and strike minus total premium.,No short-leg assignment risk; in-the-money long legs can be exercised or auto-exercised at expiration.,false,Directional uncertainty but strong conviction that realized or implied volatility will rise.,basic,Premium paid upfront; no additional option margin beyond the two long-option premiums.,"Cross-checked on: Fidelity, OIC, Schwab.",long_straddle,true,Pure long-premium volatility strategy using only purchased options.,
Long Strangle (Long Combination),long strangle,long combination; Long Combination; Long Strangle,OIC,Long Strangle (Long Combination),https://www.optionseducation.org/strategies/all-strategies/long-strangle-long-combination,strategy_page,strangle,pure_long_premium,debit,volatility_up,long_vol,negative_theta,Buy 1 call and 1 put with different strikes and the same expiration.,true,true,false,2,2,true,false,Expect a large move in either direction and/or higher implied volatility with lower upfront cost than a straddle.,net debit,Upside profit is unlimited and downside profit can be substantial if the move is large enough.,Maximum loss is limited to total premiums paid.,Two expiration breakevens: call strike plus premium and put strike minus premium.,No short-leg assignment risk; in-the-money long legs can be exercised or auto-exercised at expiration.,false,Cheaper long-volatility alternative to a straddle when a very large move is expected.,basic,Premium paid upfront; no additional option margin beyond the two long-option premiums.,"Merged source variants: Long Strangle; Long Strangle (Long Combination). Cross-checked on: Fidelity, OIC, Schwab.",long_strangle,true,Pure long-premium volatility strategy using only purchased options.,
Protective Put (Married Put),protective put,married put; long stock + long put; Married Put; Protective Put,OIC,Protective Put (Married Put),https://www.optionseducation.org/strategies/all-strategies/protective-put-married-put,strategy_page,combo,hybrid_or_protective,debit,bullish,long_vol,negative_theta,Hold long stock and buy 1 protective put against it.,false,true,true,2,2,true,false,Bullish or long-stock outlook with a desire to cap downside risk.,net debit,"Stock upside remains open, reduced by the cost of the put.","Downside is capped below the put strike, adjusted for stock basis and put cost.",Breakeven is long-stock basis plus the put premium paid.,No short-option assignment risk; the long put can be exercised or auto-exercised if in the money.,false,Hedge an existing or simultaneous long stock position while keeping upside exposure.,intermediate,Requires capital for the long stock position plus the put premium; stock financing can dominate capital usage.,"Included as a named protective structure rather than a pure standalone premium-buying trade. Merged source variants: Married Put; Protective Put; Protective Put (Married Put). Cross-checked on: Fidelity, OIC, Schwab.",protective_put,true,Named protective structure with a purchased option and clear downside-hedging use case.,
