strategy_id,family,reproduction_scope,reproduction_status,original_reported_metrics,reproduced_metrics,absolute_drift_summary,percent_drift_summary,reason_for_drift,final_baseline_confidence,source_evidence
down_streak_exhaustion,Down Streak Exhaustion,native test split exact confirmation rerun,completed,"{""cagr"": 0.2049529684570536, ""ending_equity"": 125394.18810040384, ""expectancy_dollars"": 71.7349946339091, ""expectancy_pct"": 0.0071734994633909, ""max_drawdown"": 0.0605499184859059, ""profit_factor"": 1.642566782244621, ""sharpe"": 1.4177336836908152, ""sortino"": 2.060416274375128, ""trade_count"": 354, ""win_rate"": 0.559322033898305}","{""cagr"": 0.2049529684570536, ""ending_equity"": 125394.18810040384, ""expectancy_dollars"": 71.7349946339091, ""expectancy_pct"": 0.0071734994633909, ""max_drawdown"": 0.0605499184859059, ""profit_factor"": 1.642566782244621, ""sharpe"": 1.4177336836908152, ""sortino"": 2.060416274375128, ""trade_count"": 354, ""win_rate"": 0.559322033898305}","{""cagr"": 0.0, ""ending_equity"": 0.0, ""expectancy_dollars"": 0.0, ""expectancy_pct"": 0.0, ""max_drawdown"": 0.0, ""profit_factor"": 0.0, ""sharpe"": 0.0, ""sortino"": 0.0, ""trade_count"": 0.0, ""win_rate"": 0.0}","{""cagr"": 0.0, ""ending_equity"": 0.0, ""expectancy_dollars"": 0.0, ""expectancy_pct"": 0.0, ""max_drawdown"": 0.0, ""profit_factor"": 0.0, ""sharpe"": 0.0, ""sortino"": 0.0, ""trade_count"": 0.0, ""win_rate"": 0.0}",No drift. Isolated raw-cache rebuild matched saved phase-5 rows exactly.,high,alpaca-stock-strategy-research/reports/confirmation_report.md; alpaca-stock-strategy-research/reports/decision_table_phase5.csv
qqq_led_tqqq_sqqq_pair_opening_range_intraday_system,QQQ-Led TQQQ/SQQQ Pair Opening-Range Intraday System,paper-promotion adverse baseline exact rerun,completed,"{""adverse_best_day_share"": 0.3892615754887035, ""adverse_best_month_share"": 0.6616492811752803, ""adverse_combined_expectancy"": 16.055570309162853, ""adverse_max_drawdown_pct"": 0.0923450808035927, ""adverse_test_median_daily_pnl"": 61.08072019291866, ""adverse_test_net_pnl"": 1441.139484257695, ""adverse_validate_net_pnl"": 922.2057197766558}","{""adverse_best_day_share"": 0.3892615754887035, ""adverse_best_month_share"": 0.6616492811752803, ""adverse_combined_expectancy"": 16.055570309162853, ""adverse_max_drawdown_pct"": 0.0923450808035927, ""adverse_test_median_daily_pnl"": 61.08072019291866, ""adverse_test_net_pnl"": 1441.139484257695, ""adverse_test_profit_factor"": 1.284025971098168, ""adverse_test_win_rate"": 0.5932203389830508, ""adverse_validate_net_pnl"": 922.2057197766558, ""events"": 385}","{""adverse_best_day_share"": 0.0, ""adverse_best_month_share"": 0.0, ""adverse_combined_expectancy"": 0.0, ""adverse_max_drawdown_pct"": 0.0, ""adverse_test_median_daily_pnl"": 0.0, ""adverse_test_net_pnl"": 0.0, ""adverse_validate_net_pnl"": 0.0}","{""adverse_best_day_share"": 0.0, ""adverse_best_month_share"": 0.0, ""adverse_combined_expectancy"": 0.0, ""adverse_max_drawdown_pct"": 0.0, ""adverse_test_median_daily_pnl"": 0.0, ""adverse_test_net_pnl"": 0.0, ""adverse_validate_net_pnl"": 0.0}",No drift on the preserved baseline row between the earlier paper-promotion artifact and the fresh rerun.,high,nasdaq-etf-intraday-alpaca/artifacts/paper_promotion/20260404_133736/leaderboard.csv; nasdaq-etf-intraday-alpaca/artifacts/paper_promotion/20260404_220909/leaderboard.csv; baseline_quote_trade_aware.json
durable_crsi_family,Durable cRSI Family,native baseline rerun,not_completed,"Durable shortlist winners were FCX 60m test equity 1114.29 at 10 bps, GE 60m test equity 1120.51 at 10 bps with max drawdown 4.30%, RKLB 30m test equity 1188.89 at 15 bps with 82.61% win rate and 23 trades, and BE 60m test equity 1121.09 at 15 bps; FCX had the strongest 10 bps robustness score, GE had the cleanest drawdown, RKLB had the best 15 bps headline test equity",,,,"Runnable local family exists, but only the standardized 5-year user-subset tournament was executed; the native baseline rerun remains pending.",medium,best_strategies_consolidated.txt; alpaca-stock-strategy-research/reports/strategy_zoo/crsi_durable_shortlist_summary.md; alpaca-stock-strategy-research/reports/strategy_zoo/crsi_execution_stress_summary.md; alpaca-stock-strategy-research/reports/strategy_zoo/durable_crsi_ops/durable_registry.csv; alpaca-stock-strategy-research/reports/strategy_zoo/durable_crsi_ops/durable_crsi_promotion_blockers.md
momentum_relative_strength_family,Momentum / Relative-Strength Family,native baseline rerun,not_completed,"Authoritative phase-5 summary highlights relative_strength_vs_benchmark test CAGR 49.03% on one 10-bar row and 123.15% on one 20-bar row; raw final search table contains even larger rows up to ending equity 355356.67 and CAGR 184.13%, but those rows also show extreme drawdowns above 100% and conflict with the report's own benchmark-gate summary and final conclusion",,,,"Runnable local family exists, but only the standardized 5-year user-subset tournament was executed; the native baseline rerun remains pending.",low,best_strategies_consolidated.txt; alpaca-stock-strategy-research/reports/research_report_phase5.md; alpaca-stock-strategy-research/reports/search_results_phase5_final.csv
rsi_pullback_z_score_pullback_gap_reversion_family,RSI Pullback / Z-Score Pullback / Gap Reversion Family,native baseline rerun,not_completed,"In the newer repo, best raw-table RSI pullback row reached ending equity 130886.87 with CAGR 24.83%, Sharpe 0.7582, profit factor 1.2195, and max drawdown 38.99%; best z-score row reached ending equity 129327.49 with CAGR 23.60%, Sharpe 0.9452, profit factor 1.3136, and max drawdown 25.34%; authoritative phase-5 text also cites an RSI pullback example with validation win rate 65.38% but weak test CAGR 5.38%; frozen phase-1 gap_reversion ended 99913.70 with test CAGR -0.07% and failed the benchmark gate",,,,"Runnable local family exists, but only the standardized 5-year user-subset tournament was executed; the native baseline rerun remains pending.",low,best_strategies_consolidated.txt; alpaca-stock-strategy-research/reports/research_report_phase5.md; alpaca-stock-strategy-research/reports/search_results_phase5_final.csv; alpaca-stock-strategy-research/reports/baselines/phase1_mean_reversion/backtest_results.csv
breakout_trend_continuation_family,Breakout / Trend-Continuation Family,native baseline rerun,not_completed,"Newer raw search table shows breakout_consolidation ending equity up to 141675.84 with CAGR 33.23%, Sharpe 0.8201, profit factor 1.3654, max drawdown 43.72%, and benchmark_outcome both; volatility_contraction_breakout reached ending equity 139993.07 with CAGR 31.92%, Sharpe 0.8535, profit factor 1.5045, max drawdown 32.72%, and benchmark_outcome both; ma_regime_continuation reached ending equity 131125.44 with CAGR 25.00%, Sharpe 0.7538, and benchmark_outcome both; older corrected breakout baseline ended 98443.60 with CAGR -2.14%",,,,"Runnable local family exists, but only the standardized 5-year user-subset tournament was executed; the native baseline rerun remains pending.",low,best_strategies_consolidated.txt; alpaca-stock-strategy-research/reports/search_results_phase5_final.csv; alpaca-stock-strategy-research/reports/research_report_phase5.md; alpaca-strategy-research/data/reports/breakout_stock_audit.md; alpaca-strategy-research/data/reports/research_report.md
pullback_in_trend_family,Pullback in Trend Family,native baseline rerun,not_completed,"Raw daily search table shows very high headline rows, including ending equity 197448.06 with CAGR 75.13%, Sharpe 0.9518, profit factor 1.3813, max drawdown 80.69%, and ending equity 310992.48 with CAGR 154.58% but max drawdown 140.42% and negative Sharpe",,,,"Runnable local family exists, but only the standardized 5-year user-subset tournament was executed; the native baseline rerun remains pending.",low,best_strategies_consolidated.txt; alpaca-stock-strategy-research/reports/search_results_phase5_final.csv; nasdaq-etf-intraday-alpaca/src/app/strategy.py
turn_of_month_trend_family,Turn of Month Trend Family,native baseline rerun,not_completed,"Validation occasionally looked attractive, but top inspected rows ended with test equity 95652.47 to 87467.97 and test CAGR -3.59% to -10.43%; all inspected rows failed the benchmark gate",,,,"Runnable local family exists, but only the standardized 5-year user-subset tournament was executed; the native baseline rerun remains pending.",low,best_strategies_consolidated.txt; alpaca-stock-strategy-research/reports/search_results_phase5_final.csv
stacked_ensemble_family,Stacked Ensemble Family,native baseline rerun,not_completed,"Best decision-grade row ended at 106637 with CAGR 5.44%, Sharpe 0.3654, profit factor 1.1091, max drawdown 22.07%, and benchmark_outcome neither",,,,"Runnable local family exists, but only the standardized 5-year user-subset tournament was executed; the native baseline rerun remains pending.",low,best_strategies_consolidated.txt; alpaca-stock-strategy-research/reports/research_report_phase5.md; alpaca-stock-strategy-research/reports/decision_table_phase5.csv
older_corrected_mean_reversion_baseline,Older Corrected Mean Reversion Baseline,native baseline rerun,not_completed,Ending equity 102029.85; CAGR 2.81%; Sharpe 2.2262; max drawdown 0.39%; expectancy 1.07% per trade; 19 trades,,,,"Runnable local family exists, but only the standardized 5-year user-subset tournament was executed; the native baseline rerun remains pending.",low,best_strategies_consolidated.txt; alpaca-strategy-research/data/reports/research_report.md; alpaca-strategy-research/data/reports/decision_table_corrected.csv
older_corrected_day_of_week_vol_regime_breakout_baseline_cluster,Older Corrected Day-of-Week / Vol-Regime / Breakout Baseline Cluster,native baseline rerun,not_completed,day_of_week ending equity 100303.16; vol_regime 99835.00; breakout 98443.60; none beat benchmarks; corrected breakout was clearly negative,,,,"Runnable local family exists, but only the standardized 5-year user-subset tournament was executed; the native baseline rerun remains pending.",low,best_strategies_consolidated.txt; alpaca-strategy-research/data/reports/research_report.md
options_vertical_spread_wrappers,Options Vertical-Spread Wrappers,native baseline rerun,not_completed,"Some rows showed spectacular headline returns over 5 to 13 trading days, but the same report says they are not economically meaningful after costs",,,,"Local artifacts exist, but this turn did not have enough exact code/config coverage to claim a true baseline rerun.",low,best_strategies_consolidated.txt; alpaca-strategy-research/data/reports/options_research_results.csv; alpaca-strategy-research/PHASE2_STOP.md; alpaca-strategy-research/data/reports/research_report.md
tradingview_reference_ideation_scripts_cluster,TradingView Reference / Ideation Scripts Cluster,native baseline rerun,not_completed,No trustworthy result packets were found alongside the scripts,,,,"Local artifacts exist, but this turn did not have enough exact code/config coverage to claim a true baseline rerun.",low,best_strategies_consolidated.txt; TV Strategies/LogNormal SQQQ 1min Strategy v6.pine; TV Strategies/Hull Suite Strategy by DashTrader.txt; TV Strategies/SuperTrend Strategy.txt; TV Strategies/Strategy.txt
tv_pvt_top5_finalists_tsla_30m,tv_pvt_top5_finalists :: tsla_30m,native baseline rerun,blocked,"trades=487; win_rate=0.511294; profit_factor=2.584840; expectancy=20.677012; max_drawdown_pct=0.003959; consistency=6/6 positive years; validation=validation_pass=True, test_pass=True",,,,"Exact local source code, config, or lineage is missing, so a 1:1 rerun is not currently possible.",low,C:\Users\rabisaab\Downloads\top10_authoritative_inventory.txt
index_opening_drive_lab_fb_or15_w09351000_dlong_only_ema0_vwap0_voloff_xtime_stop_1030,index_opening_drive_lab :: FB_OR15_W09351000_Dlong_only_EMA0_VWAP0_VOLoff_Xtime_stop_1030,native baseline rerun,blocked,combined_trades=221; combined_profit_factor=2.247960; combined_return_pct=16.880584; combined_sharpe=4.803461; combined_max_drawdown_pct=2.807224; validation=passes_final_credibility=True,,,,"Exact local source code, config, or lineage is missing, so a 1:1 rerun is not currently possible.",low,C:\Users\rabisaab\Downloads\top10_authoritative_inventory.txt
tv_pvt_top5_finalists_nvda_30m,tv_pvt_top5_finalists :: nvda_30m,native baseline rerun,blocked,"trades=520; win_rate=0.530769; profit_factor=2.441635; expectancy=18.171218; max_drawdown_pct=0.004030; consistency=5/6 positive years; validation=validation_pass=True, test_pass=True",,,,"Exact local source code, config, or lineage is missing, so a 1:1 rerun is not currently possible.",low,C:\Users\rabisaab\Downloads\top10_authoritative_inventory.txt
tv_pvt_top5_finalists_vix_vxx_30m,tv_pvt_top5_finalists :: vix_vxx_30m,native baseline rerun,blocked,"trades=264; win_rate=0.636364; profit_factor=6.903371; expectancy=59.519560; max_drawdown_pct=0.001946; consistency=6/6 positive years; validation=validation_pass=True, test_pass=True",,,,"Exact local source code, config, or lineage is missing, so a 1:1 rerun is not currently possible.",low,C:\Users\rabisaab\Downloads\top10_authoritative_inventory.txt
index_opening_drive_lab_fb_or5_w09351000_dlong_only_ema0_vwap0_voloff_xtime_stop_1030,index_opening_drive_lab :: FB_OR5_W09351000_Dlong_only_EMA0_VWAP0_VOLoff_Xtime_stop_1030,native baseline rerun,blocked,combined_trades=205; combined_profit_factor=2.247361; combined_return_pct=15.144497; combined_sharpe=4.745713; combined_max_drawdown_pct=2.844462; validation=passes_final_credibility=True,,,,"Exact local source code, config, or lineage is missing, so a 1:1 rerun is not currently possible.",low,C:\Users\rabisaab\Downloads\top10_authoritative_inventory.txt
tv_pvt_top5_finalists_vix_vxx_60m,tv_pvt_top5_finalists :: vix_vxx_60m,native baseline rerun,blocked,"trades=179; win_rate=0.642458; profit_factor=7.267063; expectancy=64.502087; max_drawdown_pct=0.001107; consistency=6/6 positive years; validation=validation_pass=True, test_pass=True",,,,"Exact local source code, config, or lineage is missing, so a 1:1 rerun is not currently possible.",low,C:\Users\rabisaab\Downloads\top10_authoritative_inventory.txt
tv_pvt_top5_finalists_iwm_15m,tv_pvt_top5_finalists :: iwm_15m,native baseline rerun,blocked,"trades=118; win_rate=0.525424; profit_factor=1.694151; expectancy=7.876699; max_drawdown_pct=0.002311; consistency=4/6 positive years; validation=validation_pass=True, test_pass=True",,,,"Exact local source code, config, or lineage is missing, so a 1:1 rerun is not currently possible.",low,C:\Users\rabisaab\Downloads\top10_authoritative_inventory.txt
codex_leveraged_pipeline_out_base_20260103_122420,codex_leveraged_pipeline :: out_base_20260103_122420,native baseline rerun,blocked,trades=2419; win_rate_pct=18.974783; profit_factor=1.244707; return_pct=86.599208; max_drawdown_pct=10.028691; avg_r=0.195182,,,,"Exact local source code, config, or lineage is missing, so a 1:1 rerun is not currently possible.",low,C:\Users\rabisaab\Downloads\top10_authoritative_inventory.txt
tv_squeeze_top5_finalists_tsla_30m,tv_squeeze_top5_finalists :: TSLA_30m,native baseline rerun,not_completed,trades=285; win_rate=0.936842; profit_factor=240.648511; expectancy_pct=0.004678264,,,,"Local artifacts exist, but this turn did not have enough exact code/config coverage to claim a true baseline rerun.",low,C:\Users\rabisaab\Downloads\top10_authoritative_inventory.txt
flux_signal_engine_top20_2025_msft_residual_survivor,flux_signal_engine_top20_2025 :: MSFT residual survivor,native baseline rerun,blocked,,,,,"Exact local source code, config, or lineage is missing, so a 1:1 rerun is not currently possible.",low,C:\Users\rabisaab\Downloads\top10_authoritative_inventory.txt
project_smart_money_concepts_family,Project Smart Money Concepts Family,native baseline rerun,not_completed,"Best live-like row: META 1h, win_rate=56.6667, profit_factor=519.4958, expectancy=0.004409, trades=21",,,,"Runnable local family exists, but only the standardized 5-year user-subset tournament was executed; the native baseline rerun remains pending.",low,C:\Users\rabisaab\project\outputs\deployment\phase5_candidate_registry.csv
project_sqzmom_lb_family,Project SQZMOM LB Family,native baseline rerun,not_completed,Phase-5 TSLA 30m family is watchlist-only with 51.2821% live-like OOS win rate and 16 trades.,,,,"Runnable local family exists, but only the standardized 5-year user-subset tournament was executed; the native baseline rerun remains pending.",low,C:\Users\rabisaab\project\outputs\reports\phase5_deployment_report.md
project_supertrend_family,Project SuperTrend Family,native baseline rerun,not_completed,No final phase-5 leader packet found.,,,,"Runnable local family exists, but only the standardized 5-year user-subset tournament was executed; the native baseline rerun remains pending.",low,C:\Users\rabisaab\project\strategies\supertrend.py
project_rsi_cyclic_smoothed_family,Project RSI Cyclic Smoothed Family,native baseline rerun,not_completed,No final phase-5 leader packet found.,,,,"Runnable local family exists, but only the standardized 5-year user-subset tournament was executed; the native baseline rerun remains pending.",low,C:\Users\rabisaab\project\strategies\rsi_cyclic_smoothed.py
project_combo_consensus_family,Project Combo Consensus Family,native baseline rerun,not_completed,Many combo rows exist but no GO_PAPER candidate.,,,,"Runnable local family exists, but only the standardized 5-year user-subset tournament was executed; the native baseline rerun remains pending.",low,C:\Users\rabisaab\project\strategies\combos.py
luxalgo_fvg_backtest_family,LuxAlgo FVG Backtest Family,native baseline rerun,not_completed,"Best daily row net_return=86.802013, profit_factor=1.526498; worst minute row net_return=-0.998235, max_drawdown=-1.000283",,,,"Local artifacts exist, but this turn did not have enough exact code/config coverage to claim a true baseline rerun.",low,C:\Users\rabisaab\fvg_backtest\results\summary_by_strategy_daily.csv
qqq_gap_prob_tool_signal_layer,QQQ Gap Probability Tool,native baseline rerun,not_completed,No validated >60% close-in-range holdout statement with healthy counts.,,,,"Runnable local family exists, but only the standardized 5-year user-subset tournament was executed; the native baseline rerun remains pending.",low,C:\Users\rabisaab\qqq_gap_prob_tool\qqq_gap_prob_tool_report.md
qqq_range_engine_signal_layer,QQQ Range Engine,native baseline rerun,not_completed,No validated >60% holdout statement met sample conditions.,,,,"Runnable local family exists, but only the standardized 5-year user-subset tournament was executed; the native baseline rerun remains pending.",low,C:\Users\rabisaab\qqq_range_engine\qqq_range_engine_report.md
qqq_same_day_scan_signal_layer,QQQ Same-Day Scan,native baseline rerun,not_completed,Holdout predictive effects were modest.,,,,"Runnable local family exists, but only the standardized 5-year user-subset tournament was executed; the native baseline rerun remains pending.",low,C:\Users\rabisaab\qqq_scan\qqq_same_day_scan_report.md
qqq_today_nowcast_signal_layer,QQQ Today Nowcast,native baseline rerun,not_completed,No backtest packet found.,,,,"Runnable local family exists, but only the standardized 5-year user-subset tournament was executed; the native baseline rerun remains pending.",low,C:\Users\rabisaab\qqq_today_nowcast\today_nowcast.md
