combo_size,setup_ids,setup_labels,component_symbols,component_strategies,source_runs,days_tested_common,total_pnl,avg_daily_pnl,median_daily_pnl,daily_pnl_std,positive_day_ratio,max_drawdown,worst_day_pnl,best_day_pnl,target_hit_ratio_at_1x,avg_pairwise_corr,drawdown_adjusted_return,uniform_scale_to_target,scaled_avg_daily_pnl,scaled_max_drawdown,scaled_worst_day_pnl
3,198af220ba926a8a;3e90859f1a656ae2;5fb8b838bee04a92,options_recent_otm_focus | SPY | failed_breakout_mean_reversion_option_buyer_otm_focus | otm_1 || options_recent_otm_focus | QQQ | failed_breakout_mean_reversion_option_buyer_otm_focus | otm_1 || options_optimization | SPY | failed_breakout_mean_reversion_option_buyer | atm,QQQ;SPY,failed_breakout_mean_reversion_option_buyer;failed_breakout_mean_reversion_option_buyer_otm_focus,options_optimization;options_recent_otm_focus,24,1535.6759999999977,63.9864999999999,23.439999999999856,156.45588645072874,0.625,-434.55200000000013,-250.66400000000004,383.0399999999997,0.25,0.25600909719230386,0.14724704983523232,4,255.9459999999996,-1738.2080000000005,-1002.6560000000002
3,198af220ba926a8a;5fb8b838bee04a92;6b40f447f5769dab,options_recent_otm_focus | SPY | failed_breakout_mean_reversion_option_buyer_otm_focus | otm_1 || options_optimization | SPY | failed_breakout_mean_reversion_option_buyer | atm || options_optimization | QQQ | failed_breakout_mean_reversion_option_buyer | atm,QQQ;SPY,failed_breakout_mean_reversion_option_buyer;failed_breakout_mean_reversion_option_buyer_otm_focus,options_optimization;options_recent_otm_focus,24,1472.966,61.37358333333333,44.060000000000066,211.81013514936683,0.625,-324.31199999999967,-259.9900000000002,693.4799999999996,0.20833333333333334,0.37016285212207106,0.18924240648922455,4,245.49433333333332,-1297.2479999999987,-1039.9600000000007
2,198af220ba926a8a;5fb8b838bee04a92,options_recent_otm_focus | SPY | failed_breakout_mean_reversion_option_buyer_otm_focus | otm_1 || options_optimization | SPY | failed_breakout_mean_reversion_option_buyer | atm,SPY,failed_breakout_mean_reversion_option_buyer;failed_breakout_mean_reversion_option_buyer_otm_focus,options_optimization;options_recent_otm_focus,24,1217.6359999999986,50.73483333333328,23.439999999999856,127.32855820267588,0.5416666666666666,-245.41199999999992,-201.82399999999996,383.0399999999997,0.125,0.1627847737951613,0.2067333029083064,4,202.9393333333331,-981.6479999999997,-807.2959999999998
3,198af220ba926a8a;3e90859f1a656ae2;6b40f447f5769dab,options_recent_otm_focus | SPY | failed_breakout_mean_reversion_option_buyer_otm_focus | otm_1 || options_recent_otm_focus | QQQ | failed_breakout_mean_reversion_option_buyer_otm_focus | otm_1 || options_optimization | QQQ | failed_breakout_mean_reversion_option_buyer | atm,QQQ;SPY,failed_breakout_mean_reversion_option_buyer;failed_breakout_mean_reversion_option_buyer_otm_focus,options_optimization;options_recent_otm_focus,24,1195.2899999999995,49.80374999999998,34.06000000000011,161.3870163048156,0.625,-379.2599999999999,-251.89000000000016,387.95999999999987,0.25,0.2797878021172235,0.13131822496440435,5,249.0187499999999,-1896.2999999999993,-1259.4500000000007
3,3e90859f1a656ae2;5fb8b838bee04a92;6b40f447f5769dab,options_recent_otm_focus | QQQ | failed_breakout_mean_reversion_option_buyer_otm_focus | otm_1 || options_optimization | SPY | failed_breakout_mean_reversion_option_buyer | atm || options_optimization | QQQ | failed_breakout_mean_reversion_option_buyer | atm,QQQ;SPY,failed_breakout_mean_reversion_option_buyer;failed_breakout_mean_reversion_option_buyer_otm_focus,options_optimization;options_recent_otm_focus,24,1169.0859999999989,48.71191666666662,24.59800000000007,209.91074646420486,0.5833333333333334,-402.23199999999997,-300.0740000000001,693.4799999999996,0.125,0.3929357992980949,0.12110403117272275,5,243.55958333333308,-2011.1599999999999,-1500.3700000000006
2,198af220ba926a8a;3e90859f1a656ae2,options_recent_otm_focus | SPY | failed_breakout_mean_reversion_option_buyer_otm_focus | otm_1 || options_recent_otm_focus | QQQ | failed_breakout_mean_reversion_option_buyer_otm_focus | otm_1,QQQ;SPY,failed_breakout_mean_reversion_option_buyer_otm_focus,options_recent_otm_focus,24,939.9599999999986,39.16499999999994,0.0,102.44623553357145,0.3333333333333333,-300.36000000000024,-159.68000000000006,239.1599999999999,0.125,0.4310657823434653,0.1303935277666797,6,234.98999999999967,-1802.1600000000014,-958.0800000000004
2,3e90859f1a656ae2;5fb8b838bee04a92,options_recent_otm_focus | QQQ | failed_breakout_mean_reversion_option_buyer_otm_focus | otm_1 || options_optimization | SPY | failed_breakout_mean_reversion_option_buyer | atm,QQQ;SPY,failed_breakout_mean_reversion_option_buyer;failed_breakout_mean_reversion_option_buyer_otm_focus,options_optimization;options_recent_otm_focus,24,913.7559999999979,38.07316666666658,16.236000000000022,122.70118242016069,0.5416666666666666,-323.33200000000033,-188.86400000000017,383.0399999999997,0.08333333333333333,0.17417673543828502,0.1177525474331849,6,228.43899999999948,-1939.992000000002,-1133.184000000001
2,198af220ba926a8a;6b40f447f5769dab,options_recent_otm_focus | SPY | failed_breakout_mean_reversion_option_buyer_otm_focus | otm_1 || options_optimization | QQQ | failed_breakout_mean_reversion_option_buyer | atm,QQQ;SPY,failed_breakout_mean_reversion_option_buyer;failed_breakout_mean_reversion_option_buyer_otm_focus,options_optimization;options_recent_otm_focus,24,877.2500000000005,36.55208333333335,34.06000000000011,130.56172978005353,0.6666666666666666,-237.64999999999998,-237.64999999999995,310.43999999999994,0.125,0.17568537206162865,0.15380636790798802,6,219.3125000000001,-1425.8999999999999,-1425.8999999999996
2,5fb8b838bee04a92;6b40f447f5769dab,options_optimization | SPY | failed_breakout_mean_reversion_option_buyer | atm || options_optimization | QQQ | failed_breakout_mean_reversion_option_buyer | atm,QQQ;SPY,failed_breakout_mean_reversion_option_buyer,options_optimization,24,851.046,35.46025,37.05800000000015,190.3907772707775,0.5833333333333334,-295.47400000000016,-271.71000000000015,693.4799999999996,0.08333333333333333,0.7720184105094233,0.12001140540284419,6,212.7615,-1772.844000000001,-1630.260000000001
1,198af220ba926a8a,options_recent_otm_focus | SPY | failed_breakout_mean_reversion_option_buyer_otm_focus | otm_1,SPY,failed_breakout_mean_reversion_option_buyer_otm_focus,options_recent_otm_focus,24,621.9199999999996,25.913333333333316,0.0,64.68440323773747,0.2916666666666667,-111.21999999999997,-110.83999999999996,211.16000000000017,0.041666666666666664,0.0,0.232991668165198,8,207.30666666666653,-889.7599999999998,-886.7199999999997
1,5fb8b838bee04a92,options_optimization | SPY | failed_breakout_mean_reversion_option_buyer | atm,SPY,failed_breakout_mean_reversion_option_buyer,options_optimization,24,595.715999999999,24.821499999999958,17.150000000000027,99.64914124943573,0.5416666666666666,-144.90799999999956,-126.8400000000002,383.0399999999997,0.041666666666666664,0.0,0.17129144008612385,9,223.39349999999962,-1304.171999999996,-1141.5600000000018
2,3e90859f1a656ae2;6b40f447f5769dab,options_recent_otm_focus | QQQ | failed_breakout_mean_reversion_option_buyer_otm_focus | otm_1 || options_optimization | QQQ | failed_breakout_mean_reversion_option_buyer | atm,QQQ,failed_breakout_mean_reversion_option_buyer;failed_breakout_mean_reversion_option_buyer_otm_focus,options_optimization;options_recent_otm_focus,24,573.3699999999999,23.890416666666663,29.280000000000094,128.02018690032074,0.625,-268.0399999999999,-251.5100000000001,317.8799999999999,0.08333333333333333,0.2326122519465765,0.08913004277968464,9,215.01374999999996,-2412.359999999999,-2263.590000000001
1,3e90859f1a656ae2,options_recent_otm_focus | QQQ | failed_breakout_mean_reversion_option_buyer_otm_focus | otm_1,QQQ,failed_breakout_mean_reversion_option_buyer_otm_focus,options_recent_otm_focus,24,318.03999999999894,13.251666666666623,0.0,56.31079201380696,0.2916666666666667,-189.14000000000027,-140.30000000000018,169.07999999999993,0.0,0.0,0.07006274012195518,16,212.02666666666596,-3026.2400000000043,-2244.800000000003
1,6b40f447f5769dab,options_optimization | QQQ | failed_breakout_mean_reversion_option_buyer | atm,QQQ,failed_breakout_mean_reversion_option_buyer,options_optimization,24,255.33000000000098,10.63875000000004,29.280000000000094,102.61587772336937,0.625,-268.0699999999997,-237.64999999999995,310.43999999999994,0.041666666666666664,0.0,0.03968646249114057,19,202.13625000000079,-5093.3299999999945,-4515.349999999999
